selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,fallback_max_per_sector,fallback_min_composite,fallback_min_up_prob,fallback_risk_margin,fallback_block_ratio,weighted_score
21,20,0.2,-0.0009668651393601347,-0.0009668651393601347,-0.00249615449346946,4,20,20,0.22,0.52,0.4,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.219709940458192
21,20,0.2,-0.0009668651393601347,-0.0009668651393601347,-0.00249615449346946,4,20,20,0.22,0.52,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.219709940458192
21,20,0.2,-0.0009668651393601347,-0.0009668651393601347,-0.00249615449346946,4,20,20,0.22,0.52,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.219709940458192
21,20,0.2,-0.0009668651393601347,-0.0009668651393601347,-0.00249615449346946,4,20,20,0.22,0.52,0.45,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.219709940458192
21,20,0.2,-0.0009668651393601347,-0.0009668651393601347,-0.00249615449346946,4,20,20,0.22,0.52,0.45,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.219709940458192
21,20,0.2,-0.0009668651393601347,-0.0009668651393601347,-0.00249615449346946,4,20,20,0.22,0.52,0.45,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.219709940458192
21,20,0.2,-0.0009668651393601347,-0.0009668651393601347,-0.00249615449346946,4,20,20,0.22,0.52,0.45,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.219709940458192
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.4,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.4,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.4,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.4,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.45,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.45,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.45,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.5,0.45,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.52,0.4,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.52,0.4,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.52,0.4,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.52,0.4,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.21539005703893477
28,26,0.19230769230769232,1.8138847731181e-05,1.8138847731181e-05,-0.0015665960672280876,5,20,20,0.19,0.52,0.4,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.21539005703893477
29,27,0.18518518518518517,-0.00015397237903985522,-0.00015397237903985522,-0.0018963337547407422,5,20,20,0.19,0.52,0.45,1.0,0.5,0.4,1.0,20,0.35,1,-0.03,0.14,0.05,0.3,0.2110649193973992
29,27,0.18518518518518517,-0.00015397237903985522,-0.00015397237903985522,-0.0018963337547407422,5,20,20,0.19,0.52,0.45,1.0,0.5,0.4,1.0,20,0.4,1,-0.03,0.14,0.05,0.3,0.2110649193973992
29,27,0.18518518518518517,-0.00015397237903985522,-0.00015397237903985522,-0.0018963337547407422,5,20,20,0.19,0.52,0.45,1.0,0.5,0.4,1.0,20,0.45,1,-0.03,0.14,0.05,0.3,0.2110649193973992
29,27,0.18518518518518517,-0.00015397237903985522,-0.00015397237903985522,-0.0018963337547407422,5,20,20,0.19,0.52,0.45,1.0,0.5,0.4,1.0,20,0.5,1,-0.03,0.14,0.05,0.3,0.2110649193973992
29,27,0.18518518518518517,-0.00015397237903985522,-0.00015397237903985522,-0.0018963337547407422,5,20,20,0.19,0.52,0.45,1.0,0.5,0.4,1.0,20,0.55,1,-0.03,0.14,0.05,0.3,0.2110649193973992
